id,ticker,symbol
12860,GSDWW,GSDWW
17300,GSK,GSK
12869,GSRM,GSRM
12870,GSRMW,GSRMW
17858,GTN,GTN
17847,GTS,GTS
17843,GTY,GTY
16908,GUT,GUT
16691,GVA,GVA
12890,GVCI,GVCI
12891,GVCIU,GVCIU
12892,GVCIW,GVCIW
16406,GWB,GWB
16723,GWRE,GWRE
16560,GWW,GWW
16152,GYC,GYC
17918,H,H
16705,HAE,HAE
17825,HAL,HAL
16643,HASI,HASI
16158,HAYW,HAYW
17698,HBM,HBM
17682,HCA,HCA
17448,HCC,HCC
16333,HCI,HCI
17721,HCXY,HCXY
16260,HD,HD
16169,HEI,HEI
16295,HEP,HEP
16580,HES,HES
12934,HEXO,HEXO
17324,HFC,HFC
17176,HGV,HGV
17327,HHC,HHC
17510,HI,HI
16494,HIG,HIG
16237,HII,HII
16215,HIO,HIO
16269,HL,HL
17183,HLF,HLF
17555,HLI,HLI
16556,HLT,HLT
12956,HMAC,HMAC
12957,HMACR,HMACR
12958,HMACU,HMACU
12959,HMACW,HMACW
17577,HMC,HMC
12960,HMCO,HMCO
12961,HMCOU,HMCOU
12962,HMCOW,HMCOW
17598,HMLP,HMLP
16164,HMN,HMN
16982,HMY,HMY
16586,HNGR,HNGR
17727,HNI,HNI
17480,HOG,HOG
17313,HOME,HOME
12984,HORIU,HORIU
17223,HOV,HOV
16157,HP,HP
17731,HPE,HPE
16380,HPF,HPF
16712,HPI,HPI
12995,HPLT,HPLT
12996,HPLTU,HPLTU
12997,HPLTW,HPLTW
16759,HPP,HPP
16515,HPQ,HPQ
17941,HPS,HPS
17570,HQH,HQH
17065,HQL,HQL
16859,HR,HR
16308,HRB,HRB
17416,HRC,HRC
16397,HRI,HRI
17928,HRL,HRL
16388,HRTG,HRTG
13007,HRYU,HRYU
17785,HSBC,HSBC
17910,HSC,HSC
16241,HSY,HSY
16816,HT,HT
16296,HTA,HTA
16889,HTD,HTD
17618,HTFA,HTFA
17468,HTGC,HTGC
16447,HTH,HTH
16607,HTY,HTY
17359,HUBB,HUBB
17586,HUM,HUM
17370,HUN,HUN
16905,HUYA,HUYA
16382,HVT,HVT
17107,HWM,HWM
16246,HY,HY
16964,HYI,HYI
13065,HYMCW,HYMCW
17003,HYT,HYT
