ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,change_percent,last_updated,created_at,week_52_low,week_52_high,dividend_yield,avg_volume_3mon,dvav
ATHE,ATHE,ATHE,ATHE,NASDAQ,4.908199787139893,4.619999885559082,5.070000171661377,4.62 - 5.07,51651,51651,1.6190448171650322,2025-10-17 17:48:29.333807+00:00,2025-10-17 17:48:29.333809+00:00,,,,,
ATHM,ATHM,ATHM,ATHM,NASDAQ,27.65999984741211,27.18000030517578,27.797000885009766,27.18 - 27.80,99447,99447,-0.10834483953370871,2025-10-17 17:48:29.334626+00:00,2025-10-17 17:48:29.334627+00:00,,,,,
ATHS,ATHS,ATHS,ATHS,NASDAQ,25.280000686645508,25.270000457763672,25.33989906311035,25.27 - 25.34,28766,28766,-0.23677768579750882,2025-10-17 17:48:29.341284+00:00,2025-10-17 17:48:29.341286+00:00,,,,,
ATI,ATI,ATI,ATI,NASDAQ,79.43000030517578,79.30999755859375,81.0199966430664,79.31 - 81.02,571191,571191,-2.203891761418823,2025-10-17 17:48:29.342277+00:00,2025-10-17 17:48:29.342279+00:00,,,,,
ATII,ATII,ATII,ATII,NASDAQ,10.350000381469727,10.350000381469727,10.350000381469727,10.35 - 10.35,254,254,0.145141202393681,2025-10-17 17:48:29.343989+00:00,2025-10-17 17:48:29.343990+00:00,,,,,
ATLC,ATLC,ATLC,ATLC,NASDAQ,53.5,53.529998779296875,54.83000183105469,53.53 - 54.83,21262,21262,0.05610394354219638,2025-10-17 17:48:29.344777+00:00,2025-10-17 17:48:29.344778+00:00,,,,,
ATLCL,ATLCL,ATLCL,ATLCL,NASDAQ,24.797399520874023,24.780000686645508,24.799999237060547,24.78 - 24.80,1487,1487,0.029845119295842916,2025-10-17 17:48:29.345713+00:00,2025-10-17 17:48:29.345715+00:00,,,,,
ATLCP,ATLCP,ATLCP,ATLCP,NASDAQ,24.045000076293945,23.559999465942383,24.199899673461914,23.56 - 24.20,4072,4072,0.39246737853324565,2025-10-17 17:48:29.346533+00:00,2025-10-17 17:48:29.346534+00:00,,,,,
ATLCZ,ATLCZ,ATLCZ,ATLCZ,NASDAQ,25.31999969482422,25.31999969482422,25.46500015258789,25.32 - 25.47,8371,8371,-0.5108096825857201,2025-10-17 17:48:29.347548+00:00,2025-10-17 17:48:29.347549+00:00,,,,,
ATLN,ATLN,ATLN,ATLN,NASDAQ,3.0555999279022217,2.8499999046325684,3.0999999046325684,2.85 - 3.10,12239,12239,1.5149480924731413,2025-10-17 17:48:29.352347+00:00,2025-10-17 17:48:29.352349+00:00,1.4500000476837158,7.96999979019165,0.0,,
ATLO,ATLO,ATLO,ATLO,NASDAQ,19.649999618530273,19.649999618530273,19.950000762939453,19.65 - 19.95,3710,3710,-0.15244251107871032,2025-10-17 17:48:29.353269+00:00,2025-10-17 17:48:29.353270+00:00,,,,,
ATMP,ATMP,ATMP,ATMP,NASDAQ,27.270999908447266,27.270000457763672,27.350000381469727,27.27 - 27.35,37816,37816,-0.3980980849536451,2025-10-17 17:48:29.359286+00:00,2025-10-17 17:48:29.359287+00:00,,,,,
ATMV,ATMV,ATMV,ATMV,NASDAQ,10.75,10.010000228881836,12.069999694824219,10.01 - 12.07,20061,20061,-6.521739130434782,2025-10-17 17:48:29.360392+00:00,2025-10-17 17:48:29.360404+00:00,,,,,
ATNI,ATNI,ATNI,ATNI,NASDAQ,14.824999809265137,14.739999771118164,15.199999809265137,14.74 - 15.20,20654,20654,-1.5604289761204644,2025-10-17 17:48:29.363294+00:00,2025-10-17 17:48:29.363296+00:00,,,,,
ATNM,ATNM,ATNM,ATNM,NASDAQ,1.465000033378601,1.4550000429153442,1.48989999294281,1.46 - 1.49,90689,90689,0.34246541787590606,2025-10-17 17:48:29.364269+00:00,2025-10-17 17:48:29.364270+00:00,,,,,
ATO,ATO,ATO,ATO,NASDAQ,175.22799682617188,175.02999877929688,177.22999572753906,175.03 - 177.23,337782,337782,-0.6475014586561814,2025-10-17 17:48:29.365068+00:00,2025-10-17 17:48:29.365069+00:00,,,,,
ATOM,ATOM,ATOM,ATOM,NASDAQ,4.570000171661377,4.502500057220459,4.819900035858154,4.50 - 4.82,159038,159038,-3.5864896131985313,2025-10-17 17:48:29.366026+00:00,2025-10-17 17:48:29.366027+00:00,,,,,
ATOS,ATOS,ATOS,ATOS,NASDAQ,0.9728999733924866,0.9539999961853027,1.0298000574111938,0.95 - 1.03,1014997,1014997,-5.543689279936521,2025-10-17 17:48:29.367002+00:00,2025-10-17 17:48:29.367003+00:00,,,,,
ATPC,ATPC,ATPC,ATPC,NASDAQ,1.159999966621399,1.1549999713897705,1.2100000381469727,1.15 - 1.21,43187,43187,-6.451616314521787,2025-10-17 17:48:29.367793+00:00,2025-10-17 17:48:29.367794+00:00,,,,,
